# time      EVENT                DETAILS
---------------------------------------------
1.352   TX-DATA             Seq=141621 Size=1460
1.352   TX-DATA             Seq=143081 Size=1460
1.355   NEW_ACK             Ack=73001
1.355   TX-DATA             Seq=144541 Size=1460
1.355   TX-DATA             Seq=146001 Size=1460
1.357   NEW_ACK             Ack=74461
1.357   TX-DATA             Seq=147461 Size=1460
1.357   TX-DATA             Seq=148921 Size=1460
1.360   NEW_ACK             Ack=75921
1.360   TX-DATA             Seq=150381 Size=1460
1.360   TX-DATA             Seq=151841 Size=1460
1.362   NEW_ACK             Ack=77381
1.362   TX-DATA             Seq=153301 Size=1460
1.362   TX-DATA             Seq=154761 Size=1460
1.365   NEW_ACK             Ack=78841
1.365   TX-DATA             Seq=156221 Size=1460
1.365   TX-DATA             Seq=157681 Size=1460
1.367   NEW_ACK             Ack=80301
1.367   TX-DATA             Seq=159141 Size=1460
1.367   TX-DATA             Seq=160601 Size=1460
1.369   NEW_ACK             Ack=81761
1.369   TX-DATA             Seq=162061 Size=1460
1.369   TX-DATA             Seq=163521 Size=1460
1.374   DUP_ACK             Ack=81761 dupCount=1
1.374   TX-DATA             Seq=164981 Size=1460
1.377   DUP_ACK             Ack=81761 dupCount=2
1.377   TX-DATA             Seq=166441 Size=1460
1.379   DUP_ACK             Ack=81761 dupCount=3
1.379   TRIPLE_DUP_ACK      Detected 3 duplicate ACKs -> Fast Retransmit
1.379   STATE_CHANGE        SlowStart -> FastRecovery [Reason: Triple Duplicate ACKs (Fast Retransmit)]
1.379   UPDATE              ssthresh=41610
1.379   SSTHRESH_UPDATE     old=4294967295 new=56940 [Cause: Triple Duplicate ACK]
1.379   TX-DATA             Seq=81761 Size=1460
1.382   DUP_ACK             Ack=81761 dupCount=4
1.382   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.382   TX-DATA             Seq=84681 Size=1460
1.384   DUP_ACK             Ack=81761 dupCount=5
1.384   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.384   TX-DATA             Seq=87601 Size=1460
1.384   TX-DATA             Seq=167901 Size=1460
1.387   DUP_ACK             Ack=81761 dupCount=6
1.387   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.387   TX-DATA             Seq=90521 Size=1460
1.389   DUP_ACK             Ack=81761 dupCount=7
1.389   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.389   TX-DATA             Seq=169361 Size=1460
1.389   TX-DATA             Seq=170821 Size=1460
1.392   DUP_ACK             Ack=81761 dupCount=8
1.392   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.392   TX-DATA             Seq=172281 Size=1460
1.394   DUP_ACK             Ack=81761 dupCount=9
1.394   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.394   TX-DATA             Seq=173741 Size=1460
1.396   DUP_ACK             Ack=81761 dupCount=10
1.396   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.396   TX-DATA             Seq=175201 Size=1460
1.396   TX-DATA             Seq=176661 Size=1460
1.399   DUP_ACK             Ack=81761 dupCount=11
1.399   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.399   TX-DATA             Seq=99281 Size=1460
1.401   DUP_ACK             Ack=81761 dupCount=12
1.401   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.401   TX-DATA             Seq=102201 Size=1460
1.401   TX-DATA             Seq=178121 Size=1460
1.404   DUP_ACK             Ack=81761 dupCount=13
1.404   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.404   TX-DATA             Seq=105121 Size=1460
1.409   DUP_ACK             Ack=81761 dupCount=14
1.409   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.409   TX-DATA             Seq=108041 Size=1460
1.409   TX-DATA             Seq=179581 Size=1460
1.411   DUP_ACK             Ack=81761 dupCount=15
1.411   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.411   TX-DATA             Seq=110961 Size=1460
1.414   DUP_ACK             Ack=81761 dupCount=16
1.414   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.414   TX-DATA             Seq=113881 Size=1460
1.416   DUP_ACK             Ack=81761 dupCount=17
1.416   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.416   TX-DATA             Seq=115341 Size=1460
1.416   TX-DATA             Seq=116801 Size=1460
1.419   DUP_ACK             Ack=81761 dupCount=18
1.419   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.419   TX-DATA             Seq=119721 Size=1460
1.421   DUP_ACK             Ack=81761 dupCount=19
1.421   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.421   TX-DATA             Seq=122641 Size=1460
1.421   TX-DATA             Seq=125561 Size=1460
1.423   DUP_ACK             Ack=81761 dupCount=20
1.423   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.423   TX-DATA             Seq=128481 Size=1460
1.426   DUP_ACK             Ack=81761 dupCount=21
1.426   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.426   TX-DATA             Seq=131401 Size=1460
1.428   DUP_ACK             Ack=81761 dupCount=22
1.428   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.428   TX-DATA             Seq=134321 Size=1460
1.428   TX-DATA             Seq=181041 Size=1460
1.431   DUP_ACK             Ack=81761 dupCount=23
1.431   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.431   TX-DATA             Seq=137241 Size=1460
1.433   DUP_ACK             Ack=81761 dupCount=24
1.433   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.433   TX-DATA             Seq=140161 Size=1460
1.433   TX-DATA             Seq=182501 Size=1460
1.436   DUP_ACK             Ack=81761 dupCount=25
1.436   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.436   TX-DATA             Seq=143081 Size=1460
1.438   DUP_ACK             Ack=81761 dupCount=26
1.438   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.438   TX-DATA             Seq=146001 Size=1460
1.438   TX-DATA             Seq=183961 Size=1460
1.443   DUP_ACK             Ack=81761 dupCount=27
1.443   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.443   TX-DATA             Seq=148921 Size=1460
1.446   DUP_ACK             Ack=81761 dupCount=28
1.446   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.448   DUP_ACK             Ack=81761 dupCount=29
1.448   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.448   TX-DATA             Seq=151841 Size=1460
1.450   DUP_ACK             Ack=81761 dupCount=30
1.450   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.450   TX-DATA             Seq=154761 Size=1460
1.450   TX-DATA             Seq=156221 Size=1460
1.453   NEW_ACK             Ack=84681
1.453   EXIT_FAST_RECOVERY  New ACK received, leaving Fast Recovery
1.453   STATE_CHANGE        FastRecovery -> CongestionAvoidance [Reason: Recovery complete (new ACK)]
1.453   TX-DATA             Seq=157681 Size=1460
1.455   NEW_ACK             Ack=87601
1.455   TX-DATA             Seq=160601 Size=1460
1.458   NEW_ACK             Ack=90521
1.458   TX-DATA             Seq=185421 Size=1460
1.460   DUP_ACK             Ack=90521 dupCount=1
1.460   TX-DATA             Seq=163521 Size=1460
1.460   TX-DATA             Seq=186881 Size=1460
1.463   NEW_ACK             Ack=99281
1.463   TX-DATA             Seq=188341 Size=1460
1.465   DUP_ACK             Ack=99281 dupCount=1
1.465   TX-DATA             Seq=189801 Size=1460
1.468   DUP_ACK             Ack=99281 dupCount=2
1.468   TX-DATA             Seq=191261 Size=1460
1.470   DUP_ACK             Ack=99281 dupCount=3
1.470   TRIPLE_DUP_ACK      Detected 3 duplicate ACKs -> Fast Retransmit
1.470   STATE_CHANGE        CongestionAvoidance -> FastRecovery [Reason: Triple Duplicate ACKs (Fast Retransmit)]
1.470   UPDATE              ssthresh=28470
1.470   TX-DATA             Seq=192721 Size=1460
1.473   DUP_ACK             Ack=99281 dupCount=4
1.473   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.473   TX-DATA             Seq=170821 Size=1460
1.473   TX-DATA             Seq=194181 Size=1460
1.477   DUP_ACK             Ack=99281 dupCount=5
1.477   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.480   DUP_ACK             Ack=99281 dupCount=6
1.480   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.482   DUP_ACK             Ack=99281 dupCount=7
1.482   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.485   DUP_ACK             Ack=99281 dupCount=8
1.485   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.485   TX-DATA             Seq=195641 Size=1460
1.487   DUP_ACK             Ack=99281 dupCount=9
1.487   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.490   DUP_ACK             Ack=99281 dupCount=10
1.490   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.492   DUP_ACK             Ack=99281 dupCount=11
1.492   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.495   DUP_ACK             Ack=99281 dupCount=12
1.495   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.497   DUP_ACK             Ack=99281 dupCount=13
1.497   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.500   DUP_ACK             Ack=99281 dupCount=14
1.500   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.502   DUP_ACK             Ack=99281 dupCount=15
1.502   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.504   DUP_ACK             Ack=99281 dupCount=16
1.504   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.507   DUP_ACK             Ack=99281 dupCount=17
1.507   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.512   DUP_ACK             Ack=99281 dupCount=18
1.512   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.514   DUP_ACK             Ack=99281 dupCount=19
1.514   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.517   DUP_ACK             Ack=99281 dupCount=20
1.517   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.519   DUP_ACK             Ack=99281 dupCount=21
1.519   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.522   DUP_ACK             Ack=99281 dupCount=22
1.522   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.524   DUP_ACK             Ack=99281 dupCount=23
1.524   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.527   DUP_ACK             Ack=99281 dupCount=24
1.527   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.529   DUP_ACK             Ack=99281 dupCount=25
1.529   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.531   DUP_ACK             Ack=99281 dupCount=26
1.531   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.531   TX-DATA             Seq=197101 Size=1460
1.534   DUP_ACK             Ack=99281 dupCount=27
1.534   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.536   DUP_ACK             Ack=99281 dupCount=28
1.536   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.536   TX-DATA             Seq=176661 Size=1460
1.536   TX-DATA             Seq=178121 Size=1460
1.536   TX-DATA             Seq=198561 Size=1460
1.539   DUP_ACK             Ack=99281 dupCount=29
1.539   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.539   TX-DATA             Seq=181041 Size=1460
1.539   TX-DATA             Seq=182501 Size=1460
1.539   TX-DATA             Seq=183961 Size=1460
1.539   TX-DATA             Seq=200021 Size=1460
1.541   DUP_ACK             Ack=99281 dupCount=30
1.541   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.541   TX-DATA             Seq=201481 Size=1460
1.546   DUP_ACK             Ack=99281 dupCount=31
1.546   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.546   TX-DATA             Seq=202941 Size=1460
1.549   DUP_ACK             Ack=99281 dupCount=32
1.549   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.551   DUP_ACK             Ack=99281 dupCount=33
1.551   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.551   TX-DATA             Seq=204401 Size=1460
1.577   DUP_ACK             Ack=99281 dupCount=34
1.577   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.577   TX-DATA             Seq=191261 Size=1460
1.577   TX-DATA             Seq=205861 Size=1460
1.581   DUP_ACK             Ack=99281 dupCount=35
1.581   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.584   DUP_ACK             Ack=99281 dupCount=36
1.584   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.586   DUP_ACK             Ack=99281 dupCount=37
1.586   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.586   TX-DATA             Seq=194181 Size=1460
1.586   TX-DATA             Seq=207321 Size=1460
1.589   DUP_ACK             Ack=99281 dupCount=38
1.589   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.591   DUP_ACK             Ack=99281 dupCount=39
1.591   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.594   DUP_ACK             Ack=99281 dupCount=40
1.594   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.596   DUP_ACK             Ack=99281 dupCount=41
1.596   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.596   TX-DATA             Seq=208781 Size=1460
1.599   DUP_ACK             Ack=99281 dupCount=42
1.599   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.599   TX-DATA             Seq=210241 Size=1460
1.601   DUP_ACK             Ack=99281 dupCount=43
1.601   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.601   TX-DATA             Seq=211701 Size=1460
1.604   DUP_ACK             Ack=99281 dupCount=44
1.604   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.604   TX-DATA             Seq=213161 Size=1460
1.622   DUP_ACK             Ack=99281 dupCount=45
1.622   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.624   DUP_ACK             Ack=99281 dupCount=46
1.624   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.624   TX-DATA             Seq=214621 Size=1460
1.631   DUP_ACK             Ack=99281 dupCount=47
1.631   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.634   DUP_ACK             Ack=99281 dupCount=48
1.634   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.634   TX-DATA             Seq=216081 Size=1460
1.641   DUP_ACK             Ack=99281 dupCount=49
1.641   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.641   TX-DATA             Seq=217541 Size=1460
1.644   DUP_ACK             Ack=99281 dupCount=50
1.644   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.644   TX-DATA             Seq=219001 Size=1460
1.646   DUP_ACK             Ack=99281 dupCount=51
1.646   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.646   TX-DATA             Seq=220461 Size=1460
1.649   DUP_ACK             Ack=99281 dupCount=52
1.649   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.649   TX-DATA             Seq=221921 Size=1460
1.669   DUP_ACK             Ack=99281 dupCount=53
1.669   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.669   TX-DATA             Seq=223381 Size=1460
1.679   DUP_ACK             Ack=99281 dupCount=54
1.679   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.679   TX-DATA             Seq=224841 Size=1460
1.686   DUP_ACK             Ack=99281 dupCount=55
1.686   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.686   TX-DATA             Seq=226301 Size=1460
1.689   DUP_ACK             Ack=99281 dupCount=56
1.689   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.689   TX-DATA             Seq=227761 Size=1460
1.691   DUP_ACK             Ack=99281 dupCount=57
1.691   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.694   DUP_ACK             Ack=99281 dupCount=58
1.694   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.714   DUP_ACK             Ack=99281 dupCount=59
1.714   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.724   DUP_ACK             Ack=99281 dupCount=60
1.724   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.731   DUP_ACK             Ack=99281 dupCount=61
1.731   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
1.734   DUP_ACK             Ack=99281 dupCount=62
1.734   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=99281
2.453   RTO_CHANGE          oldRTO=1s newRTO=2s
2.453   TIMEOUT_EVENT       RTO backoff -> Timeout retransmission
2.453   STATE_CHANGE        FastRecovery -> SlowStart [Reason: Timeout event (packet loss)]
2.453   SSTHRESH_UPDATE     old=56940 new=39420 [Cause: Timeout]
2.453   TX-DATA             Seq=99281 Size=1460
2.528   NEW_ACK             Ack=116801
2.528   RTO_CHANGE          oldRTO=2s newRTO=1s
2.528   TX-DATA             Seq=116801 Size=1460
2.528   TX-DATA             Seq=125561 Size=1460
2.573   NEW_ACK             Ack=125561
2.573   TX-DATA             Seq=140161 Size=1460
2.573   TX-DATA             Seq=229221 Size=1460
2.575   NEW_ACK             Ack=140161
2.575   TX-DATA             Seq=230681 Size=1460
2.575   TX-DATA             Seq=232141 Size=1460
2.618   NEW_ACK             Ack=229221
2.618   TX-DATA             Seq=233601 Size=1460
2.620   NEW_ACK             Ack=230681
2.620   TX-DATA             Seq=235061 Size=1460
2.620   TX-DATA             Seq=236521 Size=1460
2.623   NEW_ACK             Ack=232141
2.623   TX-DATA             Seq=237981 Size=1460
2.623   TX-DATA             Seq=239441 Size=1460
2.625   NEW_ACK             Ack=233601
2.625   TX-DATA             Seq=240901 Size=1460
2.625   TX-DATA             Seq=242361 Size=1460
2.663   NEW_ACK             Ack=235061
2.663   TX-DATA             Seq=243821 Size=1460
2.663   TX-DATA             Seq=245281 Size=1460
2.665   NEW_ACK             Ack=236521
2.665   TX-DATA             Seq=246741 Size=1460
2.665   TX-DATA             Seq=248201 Size=1460
2.668   NEW_ACK             Ack=237981
2.668   TX-DATA             Seq=249661 Size=1460
2.668   TX-DATA             Seq=251121 Size=1460
2.670   NEW_ACK             Ack=239441
2.670   TX-DATA             Seq=252581 Size=1460
2.670   TX-DATA             Seq=254041 Size=1460
2.673   NEW_ACK             Ack=240901
2.673   TX-DATA             Seq=255501 Size=1460
2.673   TX-DATA             Seq=256961 Size=1460
2.675   NEW_ACK             Ack=242361
2.675   TX-DATA             Seq=258421 Size=1460
2.675   TX-DATA             Seq=259881 Size=1460
2.678   NEW_ACK             Ack=243821
2.678   TX-DATA             Seq=261341 Size=1460
2.678   TX-DATA             Seq=262801 Size=1460
2.708   NEW_ACK             Ack=245281
2.708   TX-DATA             Seq=264261 Size=1460
2.708   TX-DATA             Seq=265721 Size=1460
2.710   NEW_ACK             Ack=246741
2.710   TX-DATA             Seq=267181 Size=1460
2.710   TX-DATA             Seq=268641 Size=1460
2.713   NEW_ACK             Ack=248201
2.713   TX-DATA             Seq=270101 Size=1460
2.713   TX-DATA             Seq=271561 Size=1460
2.715   NEW_ACK             Ack=249661
2.715   TX-DATA             Seq=273021 Size=1460
2.715   TX-DATA             Seq=274481 Size=1460
2.718   NEW_ACK             Ack=251121
2.718   TX-DATA             Seq=275941 Size=1460
2.718   TX-DATA             Seq=277401 Size=1460
2.720   NEW_ACK             Ack=252581
2.720   TX-DATA             Seq=278861 Size=1460
2.720   TX-DATA             Seq=280321 Size=1460
2.723   NEW_ACK             Ack=254041
2.723   TX-DATA             Seq=281781 Size=1460
2.723   TX-DATA             Seq=283241 Size=1460
2.725   NEW_ACK             Ack=255501
2.725   TX-DATA             Seq=284701 Size=1460
2.725   TX-DATA             Seq=286161 Size=1460
2.728   NEW_ACK             Ack=256961
2.728   TX-DATA             Seq=287621 Size=1460
2.728   TX-DATA             Seq=289081 Size=1460
2.730   NEW_ACK             Ack=258421
2.730   TX-DATA             Seq=290541 Size=1460
2.730   TX-DATA             Seq=292001 Size=1460
2.732   NEW_ACK             Ack=259881
2.732   TX-DATA             Seq=293461 Size=1460
2.732   TX-DATA             Seq=294921 Size=1460
2.735   NEW_ACK             Ack=261341
2.735   TX-DATA             Seq=296381 Size=1460
2.735   TX-DATA             Seq=297841 Size=1460
2.737   NEW_ACK             Ack=262801
2.737   STATE_CHANGE        SlowStart -> CongestionAvoidance [Reason: cwnd >= ssthresh]
2.737   TX-DATA             Seq=299301 Size=1460
2.737   TX-DATA             Seq=300761 Size=1460
2.740   NEW_ACK             Ack=264261
2.740   TX-DATA             Seq=302221 Size=1460
2.755   NEW_ACK             Ack=265721
2.755   TX-DATA             Seq=303681 Size=1460
2.757   NEW_ACK             Ack=267181
2.757   TX-DATA             Seq=305141 Size=1460
2.759   NEW_ACK             Ack=268641
2.759   TX-DATA             Seq=306601 Size=1460
